id,label
0,0
1,0
2,1
3,1
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,1
140,1
141,0
142,0
143,0
144,1
145,0
146,1
147,0
148,1
149,0
150,1
151,1
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,1
183,1
184,0
185,1
186,0
187,0
188,1
189,1
190,0
191,0
192,1
193,0
194,1
195,1
196,0
197,1
198,0
199,0
200,1
201,1
202,1
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,0
233,1
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,1
250,0
251,0
252,0
253,0
254,1
255,1
256,0
257,0
258,0
259,1
260,0
261,1
262,1
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,1
289,0
290,1
291,1
292,0
293,0
294,1
295,1
296,0
297,0
298,1
299,0
300,0
301,0
302,1
303,1
304,0
305,1
306,0
307,1
308,0
309,0
310,1
311,0
312,1
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,1
326,0
327,0
328,1
329,1
330,0
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,0
346,0
347,1
348,1
349,0
350,0
351,1
352,0
353,0
354,1
355,0
356,0
357,1
358,0
359,0
360,1
361,1
362,1
363,1
364,1
365,0
366,0
367,0
368,0
369,1
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,1
379,0
380,1
381,1
382,0
383,1
384,1
385,1
386,0
387,0
388,1
389,0
390,0
391,0
392,1
393,0
394,0
395,1
396,0
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,1
431,0
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,1
440,0
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,1
460,0
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,1
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,1
500,1
501,0
502,1
503,1
504,1
505,1
506,1
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,1
519,0
520,0
521,0
522,1
523,1
524,1
525,0
526,1
527,1
528,0
529,0
530,0
531,0
532,1
